Symbol;Type;Volume;Open time;Open price;Close time;Close price;Purchase value;Sale value
DTLE.UK;BUY;4;17.09.2024 10:44;3,441;15.11.2024 09:12;3,072;59,13;52,85
DTLA.UK;BUY;19;11.09.2024 15:32;4,9845;04.12.2024 11:20;4,651;370,36;359,11
DTLA.UK;BUY;1;16.09.2024 16:49;5,007;04.12.2024 11:20;4,651;19,34;18,9
DTLA.UK;BUY;2;17.09.2024 10:44;5,033;04.12.2024 11:20;4,651;38,82;37,8
DTLA.UK;BUY;6;15.11.2024 09:12;4,5175;04.12.2024 11:20;4,651;111,56;113,4
DTLA.UK;BUY;3;15.11.2024 09:12;4,5175;04.12.2024 11:22;4,651;55,78;56,68
DTLA.UK;BUY;6;15.11.2024 09:12;4,5175;04.12.2024 11:22;4,651;111,56;113,36
DTLA.UK;BUY;19;19.11.2024 10:58;4,546;04.12.2024 11:22;4,651;356,43;358,97
VVMX.DE;BUY;1;01.11.2024 10:03;8,359;05.12.2024 16:56;7,934;36,61;33,66
VVMX.DE;BUY;1;01.11.2024 10:03;8,359;05.12.2024 16:58;7,933;36,61;33,66
IJPD.UK;BUY;1;04.12.2024 11:53;76,39;05.12.2024 17:06;76,05;313,47;305,2
VVMX.DE;BUY;1;05.11.2024 09:07;8,599;05.12.2024 17:10;7,93;37,66;33,65
VVMX.DE;BUY;1;05.11.2024 09:07;8,599;16.12.2024 16:06;7,705;37,66;32,67
VVMX.DE;BUY;2;15.11.2024 10:38;8,288;16.12.2024 16:06;7,705;71,92;65,34
VVMX.DE;BUY;1;04.12.2024 11:29;8,35;16.12.2024 16:06;7,705;36;32,67
URNU.DE;BUY;1;04.09.2024 17:28;12,102;16.12.2024 16:17;15,312;52,01;64,89
URNU.DE;BUY;1;17.09.2024 10:52;12,628;16.12.2024 16:17;15,312;54,26;64,89
URNU.DE;BUY;1;23.09.2024 10:23;13,326;16.12.2024 16:17;15,312;57,29;64,89
URNU.DE;BUY;1;05.11.2024 09:05;15,46;16.12.2024 16:17;15,312;67,7;64,89
URNU.DE;BUY;5;13.11.2024 15:24;16,444;16.12.2024 16:17;15,312;358,99;324,44
URNU.DE;BUY;1;04.12.2024 11:25;16,89;16.12.2024 16:17;15,312;72,82;64,89
IGLN.UK;BUY;1;09.12.2024 10:54;51,625;19.12.2024 14:04;50,6175;209,16;205,94
IGLN.UK;BUY;1;09.12.2024 10:59;51,61;19.12.2024 14:04;50,6175;209,07;205,94
IUES.UK;BUY;1;22.10.2024 12:58;9,165;20.12.2024 09:03;8,37;36,79;34,09
IUES.UK;BUY;1;22.10.2024 16:13;9,1575;20.12.2024 09:03;8,37;36,8;34,09
IUES.UK;BUY;1;01.11.2024 10:02;8,9975;20.12.2024 09:03;8,37;36,28;34,09
IUES.UK;BUY;1;05.11.2024 09:06;9,075;20.12.2024 11:15;8,3375;36,5;34
IUES.UK;BUY;1;05.11.2024 09:08;9,075;20.12.2024 11:15;8,3375;36,5;34
IUES.UK;BUY;2;15.11.2024 10:39;9,5275;20.12.2024 11:15;8,3375;78,2;68
IUES.UK;BUY;2;15.11.2024 13:31;9,5975;20.12.2024 11:15;8,3375;78,86;68
IUES.UK;BUY;2;04.12.2024 11:28;9,48;20.12.2024 11:15;8,3375;77,86;68
IUES.UK;BUY;2;05.12.2024 09:49;9,2775;20.12.2024 11:15;8,3375;75,63;68
IUES.UK;BUY;1;05.12.2024 09:51;9,275;20.12.2024 11:19;8,3375;37,8;34,03
IUES.UK;BUY;3;18.12.2024 10:05;8,7225;20.12.2024 11:19;8,3375;106,83;102,08
CCJ.US;BUY;2;16.12.2024 16:18;54,32;08.01.2025 16:11;50,31;443,64;415,31
CCJ.US;BUY;1;19.12.2024 15:30;52,6;08.01.2025 16:11;50,31;216,26;207,65
UEC.US;BUY;5;16.12.2024 16:27;7,6;08.01.2025 16:11;7,04;155;145,28
UEC.US;BUY;2;19.12.2024 16:31;7,25;08.01.2025 16:11;7,04;59,59;58,11
MU.US;BUY;1;12.12.2024 15:30;101,6;08.01.2025 17:27;99,35;415,71;410,02
IUES.UK;BUY;4;18.12.2024 10:05;8,7225;08.01.2025 17:29;8,85;142,44;146,06
IUES.UK;BUY;7;18.12.2024 10:05;8,7225;13.01.2025 09:00;8,965;249,27;260,9
PFE.US;BUY;1;13.12.2024 17:16;25,55;21.01.2025 15:30;26,46;104,31;107,6
DTLA.UK;BUY;1;15.01.2025 15:32;4,3675;23.01.2025 10:47;4,39;18,09;17,71
DTLA.UK;BUY;14;15.01.2025 15:32;4,3675;23.01.2025 10:47;4,39;253,25;247,94
ORCL.US;BUY;1;27.01.2025 15:35;170;31.01.2025 19:39;170,22;685,88;688,52
INTC.US;BUY;2;14.01.2025 15:30;19,34;31.01.2025 20:00;19,63;161,63;158,83
AMD.US;BUY;1;29.01.2025 15:30;115,85;03.02.2025 19:11;113,12;471,97;463,34
MU.US;BUY;1;19.12.2024 16:27;85,58;04.02.2025 15:32;89,58;351,9;363,24
AMD.DE;BUY;1;04.02.2025 15:32;112,08;04.02.2025 15:33;111,86;475,28;469,44
LDOS.US;BUY;1;03.02.2025 19:31;141,99;05.02.2025 15:39;141,4;588,15;567,14
LUNR.US;BUY;2;22.10.2024 16:12;8,03;05.02.2025 17:43;19,86;64,52;159,25
UBER.US;BUY;1;04.02.2025 15:30;67,85;10.02.2025 17:46;77,08;278,04;311,06
OKLO.US;BUY;1;27.01.2025 15:38;32,88;11.02.2025 17:50;50,09;132,7;200,89
CXW.US;BUY;1;12.02.2025 15:50;18,25;12.02.2025 15:53;18,22;74,01;73,13
NVO.US;BUY;1;04.02.2025 15:31;81,4;13.02.2025 15:32;79,42;333,62;317,5
IRDM.US;BUY;1;13.02.2025 15:33;31,24;14.02.2025 20:43;31,79;126,2;125,25
OKLO.US;BUY;1;27.01.2025 21:27;30,03;19.02.2025 18:36;46,18;121,28;184,57
IGLN.UK;BUY;1;20.12.2024 09:03;50,68;21.02.2025 15:10;56,975;208,57;225,11
